RSC network: N=2000 p1=0.001006 p2=0.000003 aveK_1D=14.078000 aveK_2D=6.064500
4043
0,312,638,
0,417,1526,
0,672,1255,
0,719,1032,
0,1323,1586,
1,73,986,
1,183,256,
1,291,1379,
1,576,1635,
1,702,1299,
1,1303,1313,
2,21,1508,
2,105,898,
2,236,418,
2,352,1407,
2,683,1931,
2,877,1562,
3,276,685,
3,523,1355,
3,1439,1948,
4,53,1949,
4,132,848,
4,415,1480,
4,738,1514,
4,817,904,
4,928,1365,
4,1200,1563,
5,64,260,
5,202,1900,
5,336,1485,
5,690,974,
5,879,1373,
5,1151,1800,
5,1173,1940,
5,1356,1574,
5,1855,1997,
6,37,1161,
6,78,385,
6,377,1483,
6,698,1948,
6,1389,1980,
6,1615,1945,
7,116,1230,
7,968,1347,
7,1451,1521,
8,61,435,
8,260,1225,
8,451,1865,
8,818,1574,
8,833,1151,
8,1224,1701,
8,1398,1753,
9,254,1626,
9,370,1252,
9,734,979,
10,431,1249,
10,1228,1328,
10,1302,1641,
10,1729,1830,
11,542,1563,
11,574,1789,
11,1458,1987,
12,154,924,
12,1004,1932,
12,1890,1984,
13,23,1845,
13,65,1976,
13,231,1576,
13,686,1510,
14,332,908,
14,483,1346,
14,1130,1143,
15,193,1199,
15,308,1189,
15,765,1544,
15,1546,1991,
16,1036,1324,
16,1137,1824,
17,60,1570,
17,1146,1517,
17,1352,1857,
18,419,1580,
18,699,1598,
18,781,1218,
19,487,1197,
19,1075,1214,
19,1079,1428,
19,1110,1167,
19,1296,1751,
20,95,1243,
20,179,1873,
20,214,1453,
20,227,1711,
20,337,1943,
20,351,1713,
20,1007,1981,
20,1089,1998,
21,261,1754,
21,362,1233,
21,1305,1483,
22,349,1199,
22,846,1348,
23,99,180,
23,189,590,
24,290,1735,
24,463,1781,
24,571,1117,
24,652,1144,
24,795,1497,
24,1311,1414,
24,1801,1924,
25,535,1553,
25,628,1702,
25,757,1570,
25,1227,1942,
26,69,859,
26,121,790,
26,610,1435,
26,707,1461,
26,735,1055,
26,879,1420,
26,946,1963,
27,246,1327,
27,432,572,
27,640,1644,
27,830,1196,
27,1508,1697,
28,54,934,
28,320,1605,
28,384,1850,
28,491,907,
28,747,1847,
29,538,1053,
29,642,707,
29,659,1484,
29,663,1026,
29,688,903,
29,1586,1621,
30,256,808,
30,297,1778,
30,496,1253,
30,525,857,
30,740,863,
30,842,1562,
30,1184,1248,
30,1574,1775,
31,118,1114,
31,206,1507,
31,281,1463,
32,159,636,
32,331,437,
32,434,1629,
32,629,905,
32,954,1866,
32,1259,1940,
33,252,630,
33,760,1708,
33,1244,1548,
34,343,1062,
34,371,647,
34,664,791,
34,708,1926,
34,1082,1319,
34,1154,1387,
34,1551,1756,
34,1608,1641,
34,1669,1774,
35,46,1283,
35,219,478,
35,288,683,
35,377,1192,
35,401,1519,
35,1021,1775,
35,1195,1984,
35,1405,1891,
36,150,1208,
36,479,1507,
36,548,557,
36,688,970,
36,862,1250,
36,1273,1692,
36,1718,1724,
37,40,333,
37,231,1521,
37,617,825,
37,854,1089,
37,989,1226,
37,1045,1399,
37,1347,1660,
37,1372,1811,
37,1535,1970,
38,787,1771,
39,74,1783,
39,118,848,
39,294,1308,
39,318,523,
39,342,1301,
39,429,1083,
39,442,1583,
39,483,926,
39,567,1675,
39,1128,1383,
40,324,1412,
40,358,536,
40,394,1402,
40,968,1785,
41,116,118,
41,160,1480,
41,211,1495,
41,588,1023,
41,716,1838,
41,1646,1765,
42,219,558,
42,272,1381,
42,355,1975,
42,602,918,
42,832,835,
42,1252,1738,
43,143,699,
43,690,968,
43,1340,1906,
43,1444,1840,
44,460,1407,
44,541,1916,
44,542,1341,
44,975,1984,
44,1054,1776,
44,1446,1599,
44,1837,1933,
45,257,1569,
45,297,1875,
45,463,746,
45,1051,1296,
45,1289,1319,
45,1418,1975,
46,933,1029,
46,1328,1359,
46,1555,1660,
46,1690,1842,
47,63,170,
47,118,1687,
47,129,1779,
47,373,476,
47,459,727,
48,66,284,
48,122,449,
48,211,596,
48,374,1613,
48,598,982,
48,849,1598,
48,1325,1634,
48,1646,1658,
49,77,1920,
49,233,1785,
49,370,553,
49,676,988,
49,910,1624,
50,77,526,
50,341,411,
50,388,1833,
50,1315,1525,
51,123,1650,
51,163,1950,
51,671,1680,
51,696,1894,
51,771,891,
51,939,1626,
51,1157,1983,
51,1266,1638,
51,1802,1975,
52,582,1731,
52,1370,1939,
53,174,1776,
53,206,1936,
53,491,1460,
53,668,762,
53,879,1361,
53,930,1133,
54,237,1811,
54,241,1455,
54,371,886,
54,379,422,
54,520,1017,
54,823,1845,
54,887,1793,
55,522,652,
55,626,1400,
55,1200,1657,
56,197,942,
56,318,1484,
56,326,1726,
56,358,1664,
56,675,1693,
56,1603,1770,
